*** Starting crash test.
[InfoCall] New Worker ID = 3
[InfoCall] New Worker ID = 0
[InfoCall] New Worker ID = 2
[InfoCall] New Worker ID = 1
[InfoCall] New Worker ID = 4
[ReportHandler] Worker#0 requests, state: {0/8, 0/10} 
[ReportHandler] Worker#1 requests, state: {0/8, 0/10} 
[ReportHandler] Worker#2 requests, state: {0/8, 0/10} 
[ReportHandler] Worker#4 requests, state: {0/8, 0/10} 
[ReportHandler] Worker#3 requests, state: {0/8, 0/10} 
[InfoCall] New Worker ID = 5
[ReportHandler] Worker#5 requests, state: {0/8, 0/10} 
[ReportHandler] Worker#3 requests, state: {3/8, 0/10} 
[ReportHandler] Worker#5 requests, state: {3/8, 0/10} 
[ReportHandler] Worker#0 requests, state: {3/8, 0/10} 
[ReportHandler] Worker#5 requests, state: {3/8, 0/10} 
[ReportHandler] Worker#0 requests, state: {4/8, 0/10} 
[InfoCall] New Worker ID = 6
[ReportHandler] Worker#6 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#6 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#5 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#0 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#6 requests, state: {4/8, 0/10} 
[InfoCall] New Worker ID = 7
[ReportHandler] Worker#7 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#7 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#5 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#0 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#6 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#7 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#5 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#0 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#6 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#7 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#5 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#0 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#6 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#7 requests, state: {4/8, 0/10} 
[ReportHandler] Worker#1 requests, state: {5/8, 0/10} 
[ReportHandler] Worker#0 requests, state: {5/8, 0/10} 
[ReportHandler] Worker#5 requests, state: {5/8, 0/10} 
[ReportHandler] Worker#6 requests, state: {5/8, 0/10} 
[ReportHandler] Worker#7 requests, state: {5/8, 0/10} 
[ReportHandler] Worker#1 requests, state: {5/8, 0/10} 
[ReportHandler] Worker#0 requests, state: {5/8, 0/10} 
[ReportHandler] Worker#5 requests, state: {5/8, 0/10} 
[ReportHandler] Worker#6 requests, state: {5/8, 0/10} 
